中央频道,#genre#
广西卫视,http://171.108.239.74:8181/tsfile/live/1058_1.m3u8
广西卫视,http://171.108.239.76:8181/tsfile/live/1058_1.m3u8
广西卫视,http://171.108.239.77:8181/tsfile/live/1058_1.m3u8
星空卫视,http://171.108.239.73:8181/tsfile/live/1012_1.m3u8
星空卫视,http://171.108.239.74:8181/tsfile/live/1012_1.m3u8
星空卫视,http://171.108.239.76:8181/tsfile/live/1012_1.m3u8
星空卫视,http://171.108.239.77:8181/tsfile/live/1012_1.m3u8
江苏卫视,http://116.21.123.52:4433/tsfile/live/0127_1.m3u8
江苏卫视,http://219.137.29.213:4433/tsfile/live/0127_1.m3u8
江苏卫视,http://124.90.208.196:9901/tsfile/live/0127_1.m3u8
江苏卫视,http://123.154.30.252:9901/tsfile/live/0017_1.m3u8
江苏卫视,http://121.19.134.142:808/tsfile/live/1012_1.m3u8
江西卫视,http://124.90.208.196:9901/tsfile/live/0138_1.m3u8
江西卫视,http://123.154.30.252:9901/tsfile/live/0130_1.m3u8
江西卫视,http://121.19.134.13:808/tsfile/live/1022_1.m3u8
河北卫视,http://123.154.30.252:9901/tsfile/live/0111_2.m3u8
河北卫视,http://121.19.134.13:808/tsfile/live/0019_1.m3u8
河北卫视,http://121.19.134.142:808/tsfile/live/0019_1.m3u8
河南卫视,http://123.154.30.252:9901/tsfile/live/0121_1.m3u8
河南卫视,http://121.19.134.13:808/tsfile/live/1019_1.m3u8
河南卫视,http://121.19.134.142:808/tsfile/live/0119_1.m3u8
浙江卫视,http://116.21.123.52:4433/tsfile/live/0124_1.m3u8
浙江卫视,http://219.137.29.213:4433/tsfile/live/0124_1.m3u8
浙江卫视,http://123.154.30.252:9901/tsfile/live/0124_1.m3u8
浙江卫视,http://124.90.208.196:9901/tsfile/live/0124_1.m3u8
浙江卫视,http://121.19.134.13:808/tsfile/live/1011_1.m3u8
深圳卫视,http://121.19.134.13:808/tsfile/live/1024_1.m3u8
湖北卫视,http://123.154.30.252:9901/tsfile/live/0116_1.m3u8
湖北卫视,http://121.19.134.142:808/tsfile/live/1021_1.m3u8
湖南卫视,http://219.137.29.213:4433/tsfile/live/0128_1.m3u8
湖南卫视,http://116.21.123.52:4433/tsfile/live/0128_1.m3u8
湖南卫视,http://171.108.239.73:8181/tsfile/live/1060_1.m3u8
湖南卫视,http://123.154.30.252:9901/tsfile/live/0019_1.m3u8
湖南卫视,http://171.108.239.74:8181/tsfile/live/1060_1.m3u8
甘肃卫视,http://121.19.134.13:808/tsfile/live/0141_1.m3u8
贵州卫视,http://123.154.30.252:9901/tsfile/live/0142_1.m3u8
贵州卫视,http://171.108.239.74:8181/tsfile/live/1085_1.m3u8
贵州卫视,http://171.108.239.73:8181/tsfile/live/1085_1.m3u8
贵州卫视,http://171.108.239.76:8181/tsfile/live/1085_1.m3u8
贵州卫视,http://124.90.208.196:9901/tsfile/live/0120_1.m3u8
辽宁卫视,http://123.154.30.252:9901/tsfile/live/0123_1.m3u8
辽宁卫视,http://121.19.134.13:808/tsfile/live/1017_1.m3u8
重庆卫视,http://124.90.208.196:9901/tsfile/live/0142_1.m3u8
重庆卫视,http://121.19.134.142:808/tsfile/live/1023_1.m3u8
重庆卫视,http://121.19.134.13:808/tsfile/live/1027_1.m3u8
黑龙江卫视,http://123.154.30.252:9901/tsfile/live/1001_1.m3u8
黑龙江卫视,http://121.19.134.13:808/tsfile/live/1020_1.m3u8
地方频道,#genre#
上海纪实人文,http://121.19.134.13:808/tsfile/live/1034_1.m3u8
东森洋片,http://171.108.239.73:8181/tsfile/live/1016_1.m3u8
东森洋片,http://171.108.239.76:8181/tsfile/live/1016_1.m3u8
东森洋片,http://171.108.239.74:8181/tsfile/live/1016_1.m3u8
东森洋片,http://171.108.239.77:8181/tsfile/live/1016_1.m3u8
东森电影,http://171.108.239.73:8181/tsfile/live/1010_1.m3u8
东森电影,http://171.108.239.74:8181/tsfile/live/1010_1.m3u8
东森电影,http://171.108.239.76:8181/tsfile/live/1010_1.m3u8
东森电影,http://171.108.239.77:8181/tsfile/live/1010_1.m3u8
东森超视,http://171.108.239.73:8181/tsfile/live/1023_1.m3u8
东森超视,http://171.108.239.76:8181/tsfile/live/1023_1.m3u8
东森超视,http://171.108.239.74:8181/tsfile/live/1023_1.m3u8
东森超视,http://171.108.239.77:8181/tsfile/live/1023_1.m3u8
北京纪实,http://121.19.134.142:808/tsfile/live/1038_1.m3u8
北京纪实,http://121.19.134.13:808/tsfile/live/1036_1.m3u8
天映经典,http://171.108.239.73:8181/tsfile/live/1009_1.m3u8
天映经典,http://171.108.239.74:8181/tsfile/live/1009_1.m3u8
天映经典,http://171.108.239.76:8181/tsfile/live/1009_1.m3u8
天映经典,http://171.108.239.77:8181/tsfile/live/1009_1.m3u8
广东体育,http://116.21.123.52:4433/tsfile/live/0142_1.m3u8
广东体育,http://219.137.29.213:4433/tsfile/live/0142_1.m3u8
广东体育,http://171.108.239.77:8181/tsfile/live/1004_1.m3u8
广东体育,http://171.108.239.76:8181/tsfile/live/1004_1.m3u8
广东体育,http://171.108.239.74:8181/tsfile/live/1004_1.m3u8
广东影视,http://171.108.239.74:8181/tsfile/live/1002_1.m3u8
广东影视,http://171.108.239.76:8181/tsfile/live/1002_1.m3u8
